Season,Game,Week,Date,Market,Team,Opponent,Possesions,Possesions Against,Goals,2pt Goals,Goals Against,Score,Score Against,Efficiency,D Efficiency,Unassisted Goals,Unassisted Shots,Unassisted Sh. %,Unassisted goals A,Unassisted Shots Against,Unassisted A%,Assisted Goals,Assisted Shots,Assisted Sh. %,Assisted Goals A,Assisted Sh A,Assisted A%,Shots,Shots A,Dodge G,Dodge Sh,Dodge Sh%,Dodge G A,Dodge Sh A,Dodge Sh% A,Two-man G,Two-man Sh,Two-man Sh%,Two-man G A,Two-man Sh A,Two-man Sh% A,Second Assists,Second AOs,Turnovers,AO-to-TO Ratio,PNR Assists,FB Possesion,FB Goals,FB Shots,FB Points,FB Turnovers,FB %,FB Possesion Against,FB Goals Against,FB Shots Against,FB Points Against,FB CTO,Settled Possesion,Settled Goal,Settled Shots,Settled Poss A,Settled Goals agaisnt,Settled Shots Against,Saves,Save %,Devitte,Unique Goal Scorers,Average Shot Distance,Average Assist Distance,TOP (sec),TOP %,Possession %,Result,Possesion Battle,P&W,Margin,Quality Shots,Tough Shots,Shot Quality Ratio,Quality Shots A,Tough Shots A,Shot Quality A Ratio,Shot Quality Margin,Expected Goals
2019,12,4,6/23/2019,Baltimore,Archers,Chaos,45,45,12,1,12,13,14,0.27,0.27,4,19,0.21,2,13,0.15,8,26,0.31,10,22,0.45,45,35,4,17,0.24,5,17,0.29,2,12,0.17,1,6,0.17,4,10,15,0.53,1,13,3,9,3,4,0.23,9,3,7,5,2,22,6,26,22,5,20,10,0.5,5,7,11.16414431,#DIV/0!,1154,0.40,0.50,L,L,0,-1,23,22,1.0,21,14,0.7,0.3,14.6
2019,12,4,6/23/2019,Baltimore,Chaos,Archers,45,45,12,2,12,14,13,0.27,0.27,2,13,0.15,4,19,0.21,10,22,0.45,8,26,0.31,35,45,5,17,0.29,4,17,0.24,1,6,0.17,2,12,0.17,5,7,24,0.42,0,9,3,7,5,2,0.33,13,3,9,3,4,22,5,20,22,6,26,20,0.6,-2,8,9.900451248,#DIV/0!,1308,0.45,0.50,W,L,0,1,21,14,0.7,23,22,1.0,-0.3,16.9
2019,13,5,6/28/2019,Atlanta,Atlas,Archers,35,29,13,0,11,13,12,0.37,0.38,6,18,0.33,3,12,0.25,7,19,0.37,8,21,0.38,37,33,6,19,0.32,1,9,0.11,3,9,0.33,3,11,0.27,2,5,16,0.44,2,7,3,5,3,2,0.43,6,3,5,4,1,23,10,28,18,4,17,10,0.5,4,7,8.720620094,#DIV/0!,1328,0.46,0.55,W,W,1,1,18,19,1.1,15,18,1.2,-0.1,15.1
2019,13,5,6/28/2019,Atlanta,Archers,Atlas,29,35,11,1,13,12,13,0.38,0.37,3,12,0.25,6,18,0.33,8,21,0.38,7,19,0.37,33,37,1,9,0.11,6,19,0.32,3,11,0.27,3,9,0.33,4,6,11,0.73,1,6,3,5,4,1,0.50,7,3,5,3,2,18,4,17,23,10,28,10,0.4,8,7,10.6549112,#DIV/0!,1069,0.37,0.45,L,L,0,-1,15,18,1.2,18,19,1.1,0.1,11.8
2019,14,5,6/29/2019,Atlanta,Chaos,Chrome,45,42,14,1,14,15,14,0.31,0.33,6,24,0.25,9,26,0.35,8,20,0.40,5,20,0.25,44,46,4,15,0.27,6,24,0.25,3,10,0.30,3,10,0.30,1,5,15,0.53,1,13,5,13,6,2,0.38,7,1,6,1,1,24,7,22,26,11,34,12,0.5,7,10,9.951862823,#DIV/0!,1170,0.41,0.52,W,W,1,1,17,27,1.6,19,27,1.4,0.2,15.0
2019,14,5,6/29/2019,Atlanta,Chrome,Chaos,42,45,14,0,14,14,15,0.33,0.31,9,26,0.35,6,24,0.25,5,20,0.25,8,20,0.40,46,44,6,24,0.25,4,15,0.27,3,10,0.30,3,10,0.30,0,2,14,0.36,2,7,1,6,1,1,0.14,13,5,13,6,2,26,11,34,24,7,22,16,0.5,5,8,9.011070451,#DIV/0!,1157,0.40,0.48,L,L,0,-1,19,27,1.4,17,27,1.6,-0.2,15.2
2019,15,5,6/29/2019,Atlanta,Whipsnakes,Redwoods,44,41,10,1,14,11,14,0.23,0.34,0,20,0.00,6,24,0.25,10,29,0.34,8,19,0.42,49,43,1,19,0.05,8,18,0.44,2,9,0.22,3,8,0.38,6,10,14,0.71,2,18,6,15,6,3,0.33,8,2,7,2,1,23,4,27,22,8,22,11,0.4,6,5,10.58401148,#DIV/0!,1311,0.46,0.52,L,W,0,-3,15,34,2.3,17,26,1.5,0.7,15.4
2019,15,5,6/29/2019,Atlanta,Redwoods,Whipsnakes,41,44,14,0,10,14,11,0.34,0.23,6,24,0.25,0,20,0.00,8,19,0.42,10,29,0.34,43,49,8,18,0.44,1,19,0.05,3,8,0.38,2,9,0.22,4,9,11,0.73,3,8,2,7,2,1,0.25,18,6,15,6,3,22,8,22,23,4,27,16,0.6,11,9,10.19033649,#DIV/0!,1232,0.43,0.48,W,L,0,3,17,26,1.5,15,34,2.3,-0.7,13.5
2019,16,6,7/6/2019,Washington DC,Archers,Redwoods,43,38,8,0,9,8,9,0.19,0.24,2,18,0.11,4,23,0.17,6,27,0.22,5,14,0.36,45,37,3,25,0.12,5,18,0.28,0,6,0.00,2,5,0.40,2,7,18,0.33,0,9,4,8,4,1,0.44,9,2,8,2,1,28,3,31,27,6,24,12,0.6,-4,5,10.06074809,#DIV/0!,1404,0.49,0.53,L,W,0,-1,16,29,1.8,11,26,2.4,-0.6,14.9
2019,16,6,7/6/2019,Washington DC,Redwoods,Archers,38,43,9,0,8,9,8,0.24,0.19,4,23,0.17,2,18,0.11,5,14,0.36,6,27,0.22,37,45,5,18,0.28,3,25,0.12,2,5,0.40,0,6,0.00,0,4,17,0.29,1,9,2,8,2,1,0.22,9,4,8,4,1,27,6,24,28,3,31,16,0.7,-3,5,10.15583572,#DIV/0!,1138,0.40,0.47,W,L,0,1,11,26,2.4,16,29,1.8,0.6,12.4
