Season,game Number,Week,Player,Team,Opposing Team,Position,goals,uaGoals,uaShots,uaS%,assistedGoals,assistedShots,assistedS%,% of Shots Assisted,shots,settledGoals,settledShots,settledSh%,fbGoals,subGoals,ppGoals,assists,assistOpportunities,dodgeAssists,pnrAssists,settledAssists,fbAssists,ppAssists,sh%Created,AO-to-SH Ratio,secondAssists,secondAo,sog,offShots,blockedShots,messyShots,pipeShots,shotClockResets,cleanSaveShots,shotTurnovers,turnovers,TO + Shot TO,AO-to-TO Ratio,rhGoals,rhShots,rhS%,lhGoals,lhShots,lhSh%,doorstepGoals,holeGoals,lpGoals,lwGoals,mGoals,rwGoals,rpGoals,twoPointGoals,doorstepShots,holeShots,lpShots,lwShots,mShots,rwShots,rpShots,twoPointShots,xg,playerId,teamId
2019,1,1,Nicholas Tintle,Archers,Chrome,M,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,000220,ARC
2019,1,1,Matt Danowski,Chrome,Archers,M,0,0,0,0.00%,0,2,0.00%,100.00%,2,0,2,0%,0,0,0,0,4,0,0,0,0,0,0.00%,2.00,0,0,1,1,0,1,1,0,0,1,2,3,2.00,0,2,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,000301,CHR
2019,1,1,Ryan Flanagan,Chrome,Archers,D,0,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,1,1,0,0,0,0,0,0,0,0,1,1,0.00,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,000247,CHR
2019,2,1,Ben Reeves,Whipsnakes,Chaos,A,3,1,2,50.00%,2,4,50.00%,66.67%,6,1,3,33%,1,0,0,0,2,0,0,0,0,0,0.00%,0.33,0,0,6,0,0,1,0,3,0,0,1,1,2.00,0,0,0.00%,3,6,50.00%,2,0,0,0,0,1,0,0,2,0,0,0,1,3,0,0,2.2,000335,WHP
2019,2,1,Jules Heningburg,Whipsnakes,Chaos,#VALUE!,2,1,3,33.33%,1,2,50.00%,40.00%,5,0,3,0%,1,0,0,1,2,0,0,0,1,0,50.00%,0.40,0,1,4,1,0,2,1,0,0,2,1,3,2.00,1,3,33.33%,0,1,0.00%,1,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,2.2,000351,WHP
2019,2,1,Myles Jones,Chaos,Whipsnakes,M,2,2,4,50.00%,0,2,0.00%,33.33%,6,2,5,40%,0,0,0,1,2,1,0,1,0,0,50.00%,0.33,0,1,2,2,1,0,2,0,1,2,1,3,2.00,2,6,33.33%,0,0,0.00%,0,1,0,0,1,0,0,0,0,1,0,1,2,1,0,1,1.4,000278,CHA
2019,2,1,Jake Froccaro,Chaos,Whipsnakes,A,1,0,0,0.00%,1,3,33.33%,100.00%,3,0,2,0%,1,0,0,1,3,0,0,0,0,1,33.33%,1.00,0,0,1,0,0,0,0,0,2,2,0,2,0.00,1,3,33.33%,0,0,0.00%,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0.9,000267,CHA
2019,2,1,Matt Rambo,Whipsnakes,Chaos,A,2,1,6,16.67%,1,3,33.33%,33.33%,9,1,7,14%,1,0,0,3,7,1,1,2,1,0,42.86%,0.78,0,0,4,3,0,0,3,2,2,3,3,6,2.33,0,0,0.00%,2,9,22.22%,0,1,0,0,0,1,0,0,1,1,1,0,1,3,2,0,2.9,000354,WHP
2019,2,1,Kevin Buchanan,Chaos,Whipsnakes,M,0,0,2,0.00%,0,1,0.00%,33.33%,3,0,3,0%,0,0,0,0,0,0,0,0,0,0,0.00%,0.00,0,0,0,3,0,0,3,0,0,0,0,0,0.00,0,1,0.00%,0,2,0.00%,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8,000273,CHA
2019,2,1,Eric Scott,Chaos,Whipsnakes,M,1,1,2,50.00%,0,0,0.00%,0.00%,2,1,2,50%,0,0,0,0,1,0,0,0,0,0,0.00%,0.50,0,0,2,0,0,1,0,1,0,0,3,3,0.33,1,1,100.00%,0,1,0.00%,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1.0,000364,CHA
